field_id,date,stress_label
field_001,2023-04-01,0
field_001,2023-04-09,0
field_001,2023-04-17,0
field_001,2023-04-25,0
field_001,2023-05-03,0
field_001,2023-05-11,0
field_001,2023-05-19,0
field_001,2023-05-27,0
field_001,2023-06-04,0
field_001,2023-06-12,0
field_001,2023-06-20,0
field_001,2023-06-28,1
field_001,2023-07-06,0
field_001,2023-07-14,0
field_001,2023-07-22,0
field_001,2023-07-30,0
field_001,2023-08-07,0
field_001,2023-08-15,0
field_001,2023-08-23,0
field_001,2023-08-31,0
field_001,2023-09-08,0
field_001,2023-09-16,0
field_001,2023-09-24,0
field_001,2023-10-02,0
field_001,2023-10-10,0
field_001,2023-10-18,0
field_001,2023-10-26,0
field_002,2023-04-01,0
field_002,2023-04-09,0
field_002,2023-04-17,0
field_002,2023-04-25,0
field_002,2023-05-03,0
field_002,2023-05-11,0
field_002,2023-05-19,0
field_002,2023-05-27,0
field_002,2023-06-04,0
field_002,2023-06-12,0
field_002,2023-06-20,0
field_002,2023-06-28,0
field_002,2023-07-06,0
field_002,2023-07-14,0
field_002,2023-07-22,0
field_002,2023-07-30,0
field_002,2023-08-07,0
field_002,2023-08-15,0
field_002,2023-08-23,0
field_002,2023-08-31,0
field_002,2023-09-08,0
field_002,2023-09-16,0
field_002,2023-09-24,0
field_002,2023-10-02,0
field_002,2023-10-10,0
field_002,2023-10-18,0
field_002,2023-10-26,0
field_003,2023-04-01,0
field_003,2023-04-09,0
field_003,2023-04-17,0
field_003,2023-04-25,0
field_003,2023-05-03,0
field_003,2023-05-11,0
field_003,2023-05-19,0
field_003,2023-05-27,0
field_003,2023-06-04,0
field_003,2023-06-12,0
field_003,2023-06-20,0
field_003,2023-06-28,0
field_003,2023-07-06,0
field_003,2023-07-14,0
field_003,2023-07-22,0
field_003,2023-07-30,0
field_003,2023-08-07,0
field_003,2023-08-15,0
field_003,2023-08-23,0
field_003,2023-08-31,0
field_003,2023-09-08,0
field_003,2023-09-16,0
field_003,2023-09-24,0
field_003,2023-10-02,0
field_003,2023-10-10,0
field_003,2023-10-18,0
field_003,2023-10-26,0
